case_id,audio_path,expected_label,transcript,category,source,voice,delivery_note,duration_seconds,recorded_at
human_01_direct_request,audio/human_suite/human_01_direct_request.wav,complete,Tell me about The Arab Tent.,complete_request,human,,Say this naturally and finish with clear finality.,6.229,2026-07-29T12:50:56.581Z
human_02_wh_question,audio/human_suite/human_02_wh_question.wav,complete,Who painted it?,complete_question,human,,"Ask it as a genuine, self-contained question.",2.304,2026-07-29T12:51:51.141Z
human_03_tour_command,audio/human_suite/human_03_tour_command.wav,complete,Give me a highlights tour.,complete_command,human,,Use your normal voice; do not over-emphasise the ending.,3.328,2026-07-29T12:52:08.523Z
human_04_short_affirmation,audio/human_suite/human_04_short_affirmation.wav,complete,Yes.,short_answer,human,,Respond as if you have just accepted an offered choice.,2.133,2026-07-29T12:52:21.751Z
human_05_contextual_answer,audio/human_suite/human_05_contextual_answer.wav,complete,Its history.,contextual_answer,human,,Imagine you were asked: “Would you like its history or composition?”,2.560,2026-07-29T12:52:33.265Z
human_06_declarative,audio/human_suite/human_06_declarative.wav,complete,The Arab Tent is remarkable.,complete_declarative,human,,"Make this a complete observation, not the start of a list.",3.669,2026-07-29T12:52:51.787Z
human_07_polite_completion,audio/human_suite/human_07_polite_completion.wav,complete,Please continue.,complete_command,human,,"Say it politely, as you would to the museum guide.",2.133,2026-07-29T12:53:26.684Z
human_08_short_rejection,audio/human_suite/human_08_short_rejection.wav,complete,"No, thank you.",short_answer,human,,Use natural conversational finality.,2.560,2026-07-29T12:53:42.507Z
human_09_next_question,audio/human_suite/human_09_next_question.wav,complete,What should I look at next?,complete_question,human,,Ask this as one complete question.,2.987,2026-07-29T12:53:51.737Z
human_10_more_request,audio/human_suite/human_10_more_request.wav,complete,I'd like to hear more.,complete_request,human,,Use your ordinary speaking pace.,2.475,2026-07-29T12:54:10.336Z
human_11_composition_request,audio/human_suite/human_11_composition_request.wav,complete,Tell me about the painting's composition.,complete_request,human,,Finish the request cleanly.,3.840,2026-07-29T12:54:22.720Z
human_12_yes_no_question,audio/human_suite/human_12_yes_no_question.wav,complete,Was it painted in France?,complete_question,human,,"Ask it naturally, without adding another thought.",3.072,2026-07-29T12:54:42.905Z
human_13_backchannel,audio/human_suite/human_13_backchannel.wav,complete,That makes sense.,backchannel,human,,Say this as a complete acknowledgement.,3.499,2026-07-29T12:55:00.286Z
human_14_move_command,audio/human_suite/human_14_move_command.wav,complete,Let's move to the next room.,complete_command,human,,Use decisive but conversational finality.,3.840,2026-07-29T12:55:17.623Z
human_15_repeat_request,audio/human_suite/human_15_repeat_request.wav,complete,Could you repeat that?,complete_question,human,,Ask it as a complete repair request.,2.731,2026-07-29T12:55:53.341Z
human_16_observation,audio/human_suite/human_16_observation.wav,complete,The colours are beautiful.,complete_declarative,human,,Make a complete observation.,3.584,2026-07-29T12:56:07.288Z
human_17_hesitation_request,audio/human_suite/human_17_hesitation_request.wav,complete,Could you tell me about  The Arab Tent?,hesitation_complete,human,,"Pause naturally for about half a second at the dash, then finish the question.",5.632,2026-07-29T12:56:24.159Z
human_18_hesitation_statement,audio/human_suite/human_18_hesitation_statement.wav,complete,I think that  the painting is beautiful.,hesitation_complete,human,,"Pause naturally for about half a second at the dash, then complete the sentence.",8.021,2026-07-29T12:56:51.603Z
human_19_two_clause_pause,audio/human_suite/human_19_two_clause_pause.wav,complete,The Arab Tent is remarkable.  Its interior is richly decorated.,hesitation_complete,human,,"Pause for about half a second at the dash, then say the second sentence.",6.912,2026-07-29T12:57:11.312Z
